Seed_ID,Name
rxn05375,10_methyl_dodecanoyl_ACP_malonyl_acyl_carrier_protein_C_acyltransferase_decarboxylating
rxn14294,2E_6E_farnesyl_diphosphate_lyase_3E_6E_alpha_farnesene_forming
rxn01200,Sedoheptulose_7_phosphate_D_glyceraldehyde_3_phosphate_glycolaldehyde_transferase
rxn04744,R06935
rxn02185,2_Acetolactate_pyruvate_lyase_carboxylating
rxn08811,Lysophospholipase_L1_2_acylglycerophosphoglycerol__n_C14_0_periplasm
rxn00912,5_10_Methylenetetrahydrofolate_3_methyl_2_oxobutanoate_hydroxymethyltransferase
rxn08819,Lysophospholipase_L2_2_acylglycerophosphotidate__n_C14_1
rxn03849,biuret_amidohydrolase
rxn01291,L_Arabitol_NADP_plus__1_oxidoreductase
rxn00985,ATP_propanoate_phosphotransferase
rxn08294,diacylglycerol_kinase_n_C12_0
rxn10259,isoheptadecanoyl_CDPdiacylglycerol_sn_glycerol_3_phosphate_3_phosphatidyltransferase
rxn07720,hydroxycinnamoyl_CoA_anthocyanidin_3_5_diglucoside_5_O_glucoside_6_O_hydroxycinnamoyltransferase
rxn02302,O_Acetyl_L_homoserine_succinate_lyase_adding_cysteine
rxn05433,4_methyl_trans_hex_2_enoyl_ACP_NAD_plus__oxidoreductase_A_specific
